City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,78.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1,Punta Arenas,CL,46.51,broken clouds,-53.15,-70.9167,Hotel Hain
2,Bouar,CF,71.17,scattered clouds,5.934,15.596,Motel de l'UNITE
3,Castro,BR,65.55,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Ushuaia,AR,40.62,light rain,-54.8,-68.3,Albatross Hotel
5,Rikitea,PF,79.72,light rain,-23.1203,-134.9692,People ThankYou
6,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
8,Albany,US,57.63,few clouds,42.6001,-73.9662,
9,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Kapaa,US,81.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
13,Lebu,CL,60.1,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
14,Emirdag,TR,33.94,overcast clouds,39.0197,31.15,Emirdağ Öğretmenevi
15,Mataura,NZ,52.48,broken clouds,-46.1927,168.8643,Ellie's Villa
16,Parrita,CR,83.39,light rain,9.5201,-84.3225,Beso del Viento
17,Jizan,SA,79.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
18,Assiniboia,CA,39.02,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
19,Peniche,PT,57.11,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
20,New Norfolk,AU,66.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
21,Cape Town,ZA,66.61,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
22,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
23,Atuona,PF,78.49,few clouds,-9.8,-139.0333,Villa Enata
24,Garissa,KE,79.88,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
26,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
27,Butaritari,KI,81.37,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
28,Bredasdorp,ZA,63.72,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
29,Maceio,BR,76.44,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
30,Bugiri,UG,70.52,moderate rain,0.5714,33.7417,Gilgal Guest House
31,Simplicio Mendes,BR,73.36,overcast clouds,-7.8539,-41.9103,Fidalgo
32,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
33,Mogadishu,SO,78.28,few clouds,2.0371,45.3438,Hotel Juba
34,Georgetown,MY,79.95,thunderstorm,5.4112,100.3354,Cititel Penang
37,Clarence Town,AU,70.81,few clouds,-32.5833,151.7833,River Downs Cottage
38,Mahbubabad,IN,75.43,overcast clouds,17.6167,80.0167,District Collector Residence
39,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
40,Huercal-Overa,ES,52.05,moderate rain,37.389,-1.9454,Hotel Overa S L
42,Kodiak,US,42.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
46,Kavieng,PG,84.54,broken clouds,-2.5744,150.7967,Nusa Island Retreat
47,Ribeira Grande,PT,59.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
48,Fairbanks,US,24.98,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
49,Alenquer,BR,77.94,overcast clouds,-1.9417,-54.7383,Detinha Hotel
51,Inhambane,MZ,76.1,moderate rain,-23.865,35.3833,Oceano
52,Ambilobe,MG,73.76,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
53,Hobart,AU,67.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Geraldton,AU,57.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
55,Lighthouse Point,US,83.05,broken clouds,26.2756,-80.0873,Residence Inn by Marriott Fort Lauderdale Pompano Beach/Oceanfront
56,Torbay,CA,25.29,broken clouds,47.6666,-52.7314,Gallows Cove
57,Busselton,AU,65.19,broken clouds,-33.65,115.3333,Observatory Guest House
58,Beloha,MG,72.01,clear sky,-25.1667,45.05,
59,Beira,MZ,77.09,light rain,-19.8436,34.8389,Beira Terrace Hotel
60,Kismayo,SO,78.67,clear sky,-0.3582,42.5454,Agan-Hotel
61,Laguna,US,73.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
62,Avera,US,67.37,light rain,33.194,-82.5271,
64,Taoudenni,ML,71.24,clear sky,22.6783,-3.9836,
66,Yilan,TW,75.02,overcast clouds,24.757,121.753,Dar Chen Hotel
68,Anloga,GH,82.54,overcast clouds,5.7947,0.8973,Pin Drop Hotel
