City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,78.53,85,100,11.5,moderate rain
1,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,16.11,broken clouds
2,Bouar,CF,5.934,15.596,71.17,21,37,4.85,scattered clouds
3,Castro,BR,-24.7911,-50.0119,65.55,95,92,5.68,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,40.62,81,75,13.8,light rain
5,Rikitea,PF,-23.1203,-134.9692,79.72,81,82,24.32,light rain
6,Alofi,NU,-19.0595,-169.9187,82.29,89,75,4.61,broken clouds
7,Gobabis,NA,-22.45,18.9667,66.47,30,0,10.4,clear sky
8,Albany,US,42.6001,-73.9662,57.63,51,16,1.99,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,85.96,80,93,4.0,overcast clouds
10,Kapaa,US,22.0752,-159.319,81.48,71,100,5.99,overcast clouds
11,Saldanha,ZA,-33.0117,17.9442,66.25,79,0,12.66,clear sky
12,Ilulissat,GL,69.2167,-51.1,-3.98,50,20,6.91,few clouds
13,Lebu,CL,-37.6167,-73.65,60.1,82,100,6.33,overcast clouds
14,Emirdag,TR,39.0197,31.15,33.94,70,99,5.88,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,52.48,72,72,5.53,broken clouds
16,Parrita,CR,9.5201,-84.3225,83.39,70,28,6.35,light rain
17,Jizan,SA,17.3333,42.6667,79.74,68,4,4.61,clear sky
18,Assiniboia,CA,49.6334,-105.9845,39.02,65,7,17.27,clear sky
19,Peniche,PT,39.3558,-9.3811,57.11,85,76,27.0,broken clouds
20,New Norfolk,AU,-42.7826,147.0587,66.92,76,77,3.31,broken clouds
21,Cape Town,ZA,-33.9258,18.4232,66.61,71,0,9.22,clear sky
22,Vaini,TO,-21.2,-175.2,78.96,89,100,6.91,overcast clouds
23,Atuona,PF,-9.8,-139.0333,78.49,74,19,16.17,few clouds
24,Garissa,KE,-0.4536,39.6401,79.88,68,60,15.37,broken clouds
25,Cherskiy,RU,68.75,161.3,-13.4,98,99,7.11,overcast clouds
26,Hithadhoo,MV,-0.6,73.0833,83.68,71,100,9.84,overcast clouds
